1	Barrington			7	0	1.000	421.4	43	32	140	75	1770	23.60
2	Richard Montgomery A			5	2	.714	352.9	27	44	140	71	1490	20.99
3	St. Mark's			4	3	.571	398.6	37	43	140	80	1620	20.25
4	Hastings	SS		4	3	.571	315.7	27	42	141	68	1260	18.53
5	Johns Creek A			3	4	.429	371.4	37	33	140	70	1530	21.86
6	Hunter A			3	4	.429	335.7	36	32	141	68	1310	19.26
7	Livingston A			2	5	.286	334.3	24	46	140	70	1400	20.00
8	University Lab			0	7	.000	238.6	30	20	140	50	870	17.40
