1	Thomas Jefferson A			7	0	1.000	407.1	44	34	140	78	1630	20.90
2	Kinkaid			4	3	.571	394.3	39	35	140	74	1630	22.03
3	Belmont			4	3	.571	312.9	22	44	140	66	1310	19.85
4	Innovation Academy A			3	4	.429	352.9	32	40	140	72	1430	19.86
5	Winston Churchill A			3	4	.429	331.4	25	48	140	73	1340	18.36
6	Hoover A			3	4	.429	317.1	28	42	140	70	1240	17.71
7	Heights			3	4	.429	281.4	18	46	140	64	1150	17.97
8	Lambert			1	6	.143	265.7	28	27	140	55	1030	18.73
