1	Strake Jesuit			5	2	.714	380.0	33	47	140	80	1530	19.13
2	Maggie Walker A			5	2	.714	311.4	22	51	140	73	1230	16.85
3	Canyon Crest			4	3	.571	341.4	23	50	142	73	1430	19.59
4	Northmont A			4	3	.571	330.0	20	55	140	75	1360	18.13
5	Thomas Jefferson D		JV	4	3	.571	287.1	18	53	140	71	1120	15.77
6	Livingston B			3	4	.429	270.0	19	47	142	65	1060	16.31
7	Georgetown Day			2	5	.286	257.1	14	49	140	63	1030	16.35
8	Johns Creek B			1	6	.143	201.4	14	37	140	51	760	14.90
